adjudication_id	matching_mode	accession	start	end	strand	reference_start	reference_end	curated_reference_product	prediction_A	prediction_B	reviewer_category_A	reviewer_category_B	reviewer_notes
17c0a0bca45ae27e	exact	NC_000866.4	83060	86158	+	83060	86158	baseplate wedge subunit	baseplate wedge protein gp7	baseplate wedge subunit			
c0153a6b935cf91f	exact	NC_000866.4	86151	87155	+	86151	87155	baseplate wedge subunit	baseplate wedge subunit	baseplate wedge protein gp8			
7fce063b74362176	exact	NC_000866.4	87219	88085	+	87219	88085	baseplate wedge tail fiber protein connector	baseplate protein gp9	baseplate wedge tail fiber protein connector			
2b6d7fa95443b27e	exact	NC_000866.4	88085	89893	+	88085	89893	baseplate wedge subunit	baseplate wedge protein gp10	baseplate wedge subunit			
bbc3482e0415eea8	exact	NC_000866.4	89893	90552	+	89893	90552	baseplate wedge subunit	baseplate wedge protein gp11	baseplate wedge subunit			
d51120b1a8c03e27	exact	NC_000866.4	90549	92132	+	90549	92132	tail collar fiber protein	short tail fiber protein gp12	tail collar fiber protein			
80a9e3fe57d21d03	exact	NC_000866.4	92129	93592	+	92129	93592	fibritin neck whisker	fibritin neck whisker	fibritin			
c4c601fb68b256d1	exact	NC_000866.4	93624	94553	+	93624	94553	head-tail adaptor Ad2	neck protein gp13	head-tail adaptor Ad2			
c57b3420215a7bb2	exact	NC_000866.4	94555	95325	+	94555	95325	head closure Hc2	neck protein gp14	head closure Hc2			
cd36fa74b373ace2	exact	NC_000866.4	95367	96185	+	95367	96185	tail sheath stabilizer	tail completion protein gp15	tail sheath stabilizer			
5793a44bec9ce02b	exact	NC_000866.4	98536	100515	+	98536	100515	tail sheath	tail sheath	tail sheath protein			
bee6e4860255c921	exact	NC_000866.4	100632	101123	+	100632	101123	tail protein	tail tube	tail tube protein gp19			
e27e0cd30bd9584c	exact	NC_000866.4	103023	103448	+	103023	103448	head scaffolding protein	prohead assembly protein gp68	head scaffolding protein			
06e17bed8e0c50a5	exact	NC_000866.4	103448	104086	+	103448	104086	head maturation protease	prohead core protein protease	head maturation protease			
665e4bfc9f63e31e	exact	NC_000866.4	104117	104926	+	104117	104926	head scaffolding protein	head scaffolding protein	capsid assembly scaffolding protein			
5b270e6697864e67	exact	NC_000866.4	106561	107232	-	106561	107232	homing endonuclease	homing endonuclease	putative endonuclease segd			
b5b26af2b67414ac	exact	NC_000866.4	107323	108606	+	107323	108606	capsid vertex protein	capsid vertex protein	major head protein			
ac5a990c0cd4c651	exact	NC_000866.4	108636	109640	-	108636	109640	RNA ligase	RNA ligase	rna ligase 2			
d7604d44a41537f5	exact	NC_000866.4	110187	111317	-	110187	111317	Hoc-like head decoration	highly immunogenic outer capsid protein	Hoc-like head decoration			
b9995e500b66f1ab	exact	NC_000866.4	111327	112007	-	111327	112007	minor head protein inhibitor of protease	protein inh	minor head protein inhibitor of protease			
28969b18f68c8ab7	exact	NC_000866.4	112057	112674	+	112057	112674	homing endonuclease	homing endonuclease	putative endonuclease sege			
85c810a8ed11d1ea	exact	NC_000866.4	112677	114440	+	112677	114440	DNA helicase	DNA helicase	atp-dependent dna helicase uvsw			
7d89655a134bc619	exact	NC_000866.4	114914	115327	-	114914	115327	UvsY-like recombination mediator	recombination protein uvsy	UvsY-like recombination mediator			
c82336de1cc16105	exact	NC_000866.4	115404	115802	-	115404	115802	baseplate wedge subunit	baseplate wedge protein gp25	baseplate wedge subunit			
ca7fc66a6295b366	exact	NC_000866.4	115802	116428	-	115802	116428	baseplate hub	baseplate hub	baseplate hub assembly protein gp26			
dd34d27588680553	exact	NC_000866.4	116479	117228	+	116479	117228	baseplate hub assembly protein	baseplate hub	baseplate hub assembly protein gp51			
a6d010cc9cebeb80	exact	NC_000866.4	118348	118881	+	118348	118881	baseplate hub distal subunit	baseplate hub distal subunit	baseplate hub assembly protein gp28			
d3e2e63fc9520f97	exact	NC_000866.4	118878	120650	+	118878	120650	baseplate hub subunit and tail length	baseplate hub subunit and tail length	tape measure protein			
cbcbdc82e277d0c7	exact	NC_000866.4	120659	121753	+	120659	121753	baseplate tail tube cap	baseplate tail-tube junction protein gp48	baseplate tail tube cap			
503e27b15aadd912	exact	NC_000866.4	121753	122715	+	121753	122715	tail tube	tail tube	baseplate tail-tube junction protein gp54			
10b77539d1c87440	exact	NC_000866.4	123454	125502	-	123454	125502	Alt-like RNA polymerase ADP-ribosyltransferase	Alt-like RNA polymerase ADP-ribosyltransferase	nad(+)--arginine adp-ribosyltransferase			
6f0ff303055ab419	exact	NC_000866.4	125745	127208	-	125745	127208	DNA ligase	ATP-dependent DNA ligase	dna ligase			
130b109a8a5575af	exact	NC_000866.4	131181	131516	-	131181	131516	head morphogenesis	head morphogenesis	capsid assembly protein gp31			
7d74f9661d233b22	exact	NC_000866.4	132118	132699	-	132118	132699	dCMP deaminase	dCMP deaminase	deoxycytidylate deaminase			
8ff64fa095c175e7	exact	NC_000866.4	135132	135431	-	135132	135431	Rz-like spanin	Rz-like spanin	spanin, outer lipoprotein subunit			
7756748fe87a57a5	exact	NC_000866.4	135428	135781	-	135428	135781	Rz-like spanin	spanin, inner membrane subunit	Rz-like spanin			
058945b2175b59d3	exact	NC_000866.4	136340	137464	-	136340	137464	RNA ligase and tail fiber protein attachment catalyst	rna ligase 1	RNA ligase and tail fiber protein attachment catalyst			
2a3a61b073999f6c	exact	NC_000866.4	139991	140416	-	139991	140416	homing endonuclease	probable mobile endonuclease e	homing endonuclease			
70726b23527eda48	exact	NC_000866.4	140416	142680	-	140416	142680	NrdA-like aerobic NDP reductase large subunit	ribonucleotide reductase large subunit	ribonucleoside-diphosphate reductase subunit alpha			
9a8af27f2530f2ac	exact	NC_000866.4	143694	144431	-	143694	144431	homing endonuclease	intron-associated endonuclease 1	homing endonuclease			
82019efa566b81eb	exact	NC_000866.4	146948	147853	-	146948	147853	single strand DNA binding protein	single-stranded dna-binding protein	single strand DNA binding protein			
f5ce0f1af089c2d2	exact	NC_000866.4	149193	149531	-	149193	149531	late promoter transcriptional regulator	late promoter transcriptional regulator	late transcription coactivator			
a0463071c2c2c6b2	exact	NC_000866.4	149509	149778	-	149509	149778	transcriptional regulator	transcriptional regulator	double-stranded dna-binding protein			
e1efd3e02a40b410	exact	NC_000866.4	149787	150704	-	149787	150704	RnaseH	ribonuclease h	exonuclease			
f43930491a81b39e	exact	NC_000866.4	150809	154678	+	150809	154678	tail fiber protein proximal subunit	tail fiber protein proximal subunit	long-tail fiber proximal subunit			
1013c3cb4ac4246c	exact	NC_000866.4	154687	155805	+	154687	155805	long tail fiber protein proximal connector	long-tail fiber protein gp35	long tail fiber protein proximal connector			
eb5b7b8b4dca022a	exact	NC_000866.4	155868	156533	+	155868	156533	hinge connector of long tail fiber protein distal connector	hinge connector of long tail fiber protein distal connector	tail fiber protein			
741ab191732b0e02	exact	NC_000866.4	156542	159622	+	156542	159622	long tail fiber protein distal subunit	long tail fiber protein distal subunit	long-tail fiber protein gp37			
df0756189dc488f1	exact	NC_000866.4	159649	160200	+	159649	160200	tail fiber assembly	tail fiber assembly	tail fiber assembly protein			
87df67e7d19bfcdf	exact	NC_000866.4	160878	161150	-	160878	161150	anti-sigma factor	10 kda anti-sigma factor	anti-sigma factor			
27c1bf0507e825f6	exact	NC_000866.4	161312	161590	-	161312	161590	inhibitor of MrcBC restriction	anti-restriction endonuclease	inhibitor of MrcBC restriction			
355c89e8ff6c112e	exact	NC_000866.4	162967	163602	-	162967	163602	MotA-like activator of middle period transcription	middle transcription regulatory protein mota	MotA-like activator of middle period transcription			
276e2e5ca20431d8	exact	NC_000866.4	163876	165204	-	163876	165204	DNA topoisomerase II	dna topoisomerase medium subunit	DNA topoisomerase II			
d884e21c9d2ba1ff	exact	NC_000866.4	165585	166040	-	165585	166040	Ndd-like nucleoid disruption protein	Ndd-like nucleoid disruption protein	nucleoid disruption protein			
491bf0aeede95b80	exact	NC_000866.4	167103	167660	-	167103	167660	DenB-like DNA endonuclease IV	endonuclease iv	DenB-like DNA endonuclease IV			
caf6e39b51c12d93	exact	NC_000866.4	167965	168903	-	167965	168903	RIIB lysis inhibitor	RIIB lysis inhibitor	protein riib			
ca84e906907acdbd	exact	NC_001416.1	2633	2839	+	2633	2839	head-tail adaptor Ad1	head-tail adaptor Ad1	head completion protein			
fa7a65b0003fe5a2	exact	NC_001416.1	2836	4437	+	2836	4437	portal protein	portal protein	portal protein b			
9ecfcae2e0da9d8a	exact	NC_001416.1	5747	6079	+	5747	6079	head decoration	capsid decoration protein	head decoration			
47dc539b3cdcbb98	exact	NC_001416.1	7977	8555	+	7977	8555	tail protein	tail completion protein z	hypothetical protein			
b399e279bc91eaec	exact	NC_001416.1	8552	8947	+	8552	8947	tail terminator	tail tube terminator protein	tail terminator			
7444931865f04f97	exact	NC_001416.1	8955	9695	+	8955	9695	major tail protein	major tail protein	tail tube protein			
d837aa8c8610b60a	exact	NC_001416.1	9711	10133	+	9711	10133	minor tail protein G	hypothetical protein	tail assembly protein g			
3bfc6a3f730de6cf	exact	NC_001416.1	10542	13103	+	10542	13103	tail length tape measure protein	tail length tape measure protein	tape measure protein			
09fffe579cf797bb	exact	NC_001416.1	13100	13429	+	13100	13429	minor tail protein	minor tail protein	tail tip protein m			
b0634ed277dcba30	exact	NC_001416.1	13429	14127	+	13429	14127	minor tail protein	tail tip protein l	minor tail protein			
88cd192ff77b3c3f	exact	NC_001416.1	14276	14875	+	14276	14875	C40 family peptidase	hypothetical protein	tail tip assembly protein k			
297406e31caefd6e	exact	NC_001416.1	14773	15444	+	14773	15444	tail assembly protein	tail tip assembly protein i	hypothetical protein			
a4011111e402dddc	exact	NC_001416.1	15505	18903	+	15505	18903	central tail fiber J	tip attachment protein j	tail fiber protein			
37a359a06b6b3f7f	exact	NC_001416.1	18965	19585	+	18965	19585	Lom outer membrane protein	outer membrane protein lom	Lom outer membrane protein			
d1afeb7fafb1e8a0	exact	NC_001416.1	21973	22557	+	21973	22557	tail fiber assembly	tail fiber assembly protein	tail fiber assembly			
2616198b66d0b684	exact	NC_001416.1	22686	23918	-	22686	23918	ea47	hypothetical protein	protein ea47			
820ff10ce504132f	exact	NC_001416.1	24509	25399	-	24509	25399	HNH endonuclease	protein ea31	HNH endonuclease			
2b92ccba1ff7ff28	exact	NC_001416.1	25396	26973	-	25396	26973	AAA family ATPase	hypothetical protein	protein ea59			
afd57b86f7af6c67	exact	NC_001416.1	29374	29655	-	29374	29655	ea8.5	hypothetical protein	protein ea8.5			
e2150ba56094727c	exact	NC_001416.1	32025	32810	-	32025	32810	RecT-like ssDNA annealing protein	recombination protein bet	RecT-like ssDNA annealing protein			
7fd99f87d9d5bfb1	exact	NC_001416.1	32816	33232	-	32816	33232	gam-like host nuclease inhibitor	gam-like host nuclease inhibitor	host-nuclease inhibitor protein gam			
ca9ed4ad385ddcc7	exact	NC_001416.1	34087	34287	-	34087	34287	restriction alleviation ral	restriction alleviation ral	restriction inhibitor protein ral			
da34c94aed5e4dcd	exact	NC_001416.1	35037	35438	-	35037	35438	anti-termination protein N-like	antitermination protein n	anti-termination protein N-like			
3462634583b5cbe6	exact	NC_001416.1	35825	36259	-	35825	36259	RexB-like exclusion protein	RexB-like exclusion protein	protein rexb			
bf89531663e38d1f	exact	NC_001416.1	36275	37114	-	36275	37114	RexA-like exclusion protein	RexA-like exclusion protein	protein rexa			
b081f23aa20bbfbc	exact	NC_001416.1	37227	37940	-	37227	37940	LexA family transcriptional regulator	helix-turn-helix transcriptional regulator	hypothetical protein			
7cbae52f2f569bd3	exact	NC_001416.1	38041	38241	+	38041	38241	Cro/CI family transcriptional regulator	regulatory protein cro	transcriptional repressor			
30dbb381a55a7164	exact	NC_001416.1	38686	39585	+	38686	39585	replication initiation O-like	replication protein o	replication initiation O-like			
9a03d4275249d803	exact	NC_001416.1	39582	40283	+	39582	40283	DNA replication protein	helicase loader	hypothetical protein			
780c276dc4b049ce	exact	NC_001416.1	40280	40570	+	40280	40570	Ren-like exclusion protein	Ren-like exclusion protein	protein ren			
bd2dee31c66cf921	exact	NC_001416.1	40644	41084	+	40644	41084	NinB/ Orf homologous recombination mediator	protein ninb	NinB/ Orf homologous recombination mediator			
a5ce6567a5d22319	exact	NC_001416.1	42429	43043	+	42429	43043	NinG/ Rap DNA junction specific endonuclease	protein ning	NinG/ Rap DNA junction specific endonuclease			
fa65b56be04e4408	exact	NC_001416.1	43886	44509	+	43886	44509	antitermination protein	anti-termination protein Q-like	antitermination protein q			
86062b8c81222630	exact	NC_001416.1	45186	45509	+	45186	45509	holin/anti-holin	holin/anti-holin	antiholin			
eda6c044d5cc02a4	exact	NC_001416.1	45966	46427	+	45966	46427	Rz-like spanin	Rz-like spanin	spanin, inner membrane subunit			
0927b608c096c50a	exact	NC_001416.1	46459	46752	-	46459	46752	Bor-like outer membrane protein	Bor-like outer membrane protein	lipoprotein bor			
073c06460b5997a8	exact	NC_001604.1	925	1278	+	925	1278	ocr-like anti-restriction	ocr-like anti-restriction	protein ocr			
2784e89a793e21ac	exact	NC_001604.1	2021	3100	+	2021	3100	serine-threonine kinase	protein kinase 0.7	serine-threonine kinase			
a0261af9c818ecb0	exact	NC_001604.1	6137	6394	+	6137	6394	dGTPase inhibitor; target for F exclusion	inhibitor of dgtpase	dGTPase inhibitor target for F exclusion			
9869b6552f6f6c32	exact	NC_001604.1	8166	8756	+	8166	8756	nucleotide kinase	nucleotide kinase	nucleotide kinase gp1.7			
e81fa81a809eb093	exact	NC_001604.1	9158	9856	+	9158	9856	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	single-stranded dna-binding protein	Gp2.5-like ssDNA binding protein and ssDNA annealing protein			
6c770fea09576b17	exact	NC_001604.1	9857	10276	+	9857	10276	endonuclease	endonuclease	hnh endonuclease			
a3fa71500ae9e61b	exact	NC_001604.1	10257	10706	+	10257	10706	endonuclease	endonuclease i	endonuclease			
b2e132bf75bf76f6	exact	NC_001604.1	10706	11161	+	10706	11161	amidase	endolysin	amidase			
906212c0d6c4e5db	exact	NC_001604.1	11225	11590	+	11225	11590	HNH endonuclease	protein 3.8	HNH endonuclease			
96dbdcc062c95883	exact	NC_001604.1	11565	13265	+	11565	13265	DNA primase/helicase	dna helicase/primase	DNA primase/helicase			
da5cd49df42e2855	exact	NC_001604.1	14353	16467	+	14353	16467	DNA polymerase I	DNA polymerase I	family-a dna polymerase			
ace735b74a188e03	exact	NC_001604.1	16851	17150	+	16851	17150	DUF2675 domain-containing protein	hypothetical protein	protein suppressor of silencing			
41b5f587a1e82af9	exact	NC_001604.1	17359	17517	+	17359	17517	Gp5.9-like inihibitor of recBCD nuclease	gene 5.9 protein	Gp5.9-like inihibitor of recBCD nuclease			
5d465bc40ac8cd2d	exact	NC_001604.1	18394	18507	+	18394	18507	DUF5516 domain-containing protein	protein 6.3	hypothetical protein			
8ada1513e4544f53	exact	NC_001604.1	18605	18859	+	18605	18859	DUF2717 domain-containing protein	hypothetical protein	protein 6.5			
be0b0be64e6a88c5	exact	NC_001604.1	18864	19130	+	18864	19130	DUF5476 family protein	hypothetical protein	protein 6.7			
5cc76c32545c8da1	exact	NC_001604.1	19130	19531	+	19130	19531	host range and adsorption protein	host range and adsorption protein	protein 7			
ef6e71c70bd88968	exact	NC_001604.1	19535	19834	+	19535	19834	host range and adsorption protein	protein 7.3	host range and adsorption protein			
7e5b7fc37d3fae76	exact	NC_001604.1	21950	22873	+	21950	22873	head assembly	capsid assembly scaffolding protein	head assembly			
2b4fd6af3c46b353	exact	NC_001604.1	24228	24818	+	24228	24818	tail protein	tail tubular protein gp11	tail protein			
7f6727251878cfce	exact	NC_001604.1	24842	27226	+	24842	27226	tail protein	tail tubular protein gp12	tail protein			
cea837b548d97a3a	exact	NC_001604.1	27307	27723	+	27307	27723	internal virion protein	internal virion protein	probable scaffold protein gp13			
c8a9a7136676f014	exact	NC_001604.1	27728	28318	+	27728	28318	internal virion protein	internal virion protein	internal virion protein gp14			
8a8123fe0dabc0ab	exact	NC_001604.1	28325	30568	+	28325	30568	internal virion protein	internal virion protein	internal virion protein gp15			
458f5d8a9922e55e	exact	NC_001604.1	30595	34551	+	30595	34551	internal virion protein with endolysin domain	peptidoglycan transglycosylase gp16	internal virion protein with endolysin domain			
5241862e86c143a2	exact	NC_001604.1	36553	36822	+	36553	36822	terminase small subunit	terminase small subunit	terminase, small subunit gp18			
b711e41dc58ae1b7	exact	NC_001604.1	36917	37348	+	36917	37348	Rz-like spanin	Rz-like spanin	spanin, inner membrane subunit			
a7e3183fb6149ca3	exact	NC_005859.1	124	858	-	124	858	deoxynucleoside-5'-monophosphatase	polynucleotide kinase	5'-deoxynucleotidase			
ba9b5cd53fc0e6e7	exact	NC_005859.1	1706	3376	-	1706	3376	DNA transfer protein	protein a1	DNA transfer protein			
f12f9ce21af9e9a2	exact	NC_005859.1	3727	4134	-	3727	4134	DNA binding protein	protein a2	DNA binding protein			
60efd1e630f56a94	exact	NC_005859.1	5411	5929	-	5411	5929	putative H-N-H-endonuclease P-TflVII	hnh endonuclease	hypothetical protein			
6e57aabe8bfffa96	exact	NC_005859.1	18646	18936	-	18646	18936	putative thioredoxin	thioredoxin domain	thioredoxin domain			
1c9c6502afc4036c	exact	NC_005859.1	19931	20344	-	19931	20344	endolysin	l-alanyl-d-glutamate peptidase	endolysin			
c79b23c17c7ac234	exact	NC_005859.1	21766	22518	-	21766	22518	deoxynucleoside monophosphate kinase	deoxynucleoside-5'-monophosphate kinase	deoxynucleoside monophosphate kinase			
6b78a4600261396a	exact	NC_005859.1	23245	23742	-	23245	23742	H-N-H-endonuclease F-TflVI	hnh endonuclease	HNH endonuclease			
3068523ae4e55c5c	exact	NC_005859.1	25638	26150	-	25638	26150	H-N-H-endonuclease F-TflV	HNH endonuclease	hnh endonuclease			
3a88ce75d584f949	exact	NC_005859.1	27656	28024	-	27656	28024	putative acetyltransferase-related protein	hypothetical protein	autonomous glycyl radical cofactor			
b78224b70c5bbb76	exact	NC_005859.1	31022	31606	-	31022	31606	HNH endonuclease	HNH endonuclease	h-n-h endonuclease f-tfli			
9b3681b6131e2d8f	exact	NC_005859.1	36379	37062	-	36379	37062	HNH endonuclease	HNH endonuclease	h-n-h endonuclease f-tfliv			
532f7a0f60a09eb8	exact	NC_005859.1	39791	40738	-	39791	40738	lipoprotein	lipoprotein	band 7/spfh family protein			
b95f91721b975a2f	exact	NC_005859.1	47861	48394	-	47861	48394	putative dihydrofolate reductase	dihydrofolate reductase	dihydrofolate reductase			
90f0225ff9916d11	exact	NC_005859.1	48391	49536	-	48391	49536	putative aerobic ribonucleoside diphosphate reductase, small subunit	conserved phage protein of unknown function	ribonucleoside diphosphate reductase small subunit			
cbfc74f4c527beb2	exact	NC_005859.1	49536	50060	-	49536	50060	putative H-N-H-endonuclease P-TflVIII	HNH endonuclease	hnh endonuclease			
b812f5a62992fb2e	exact	NC_005859.1	50163	52598	-	50163	52598	ribonucleoside-diphosphate reductase large subunit	ribonucleotide reductase large subunit	ribonucleotide reductase large subunit			
